Ad Hoc ChinaPay Purchase Transaction Details Report (PTDR_CP)											
From	2010-Oct-21 16:14:00										
To	2010-Oct-22 16:14:59										
Generated on	2010-Oct-22 16:14:41										
											
											
											
Merchant Wallet	All										
Req. Reference Number	Transaction Reference	Card Number	e-Wallet ID	Merchant Ref.	Request Date and Time	Complete Date and Time	Status	Transaction Amount	Commission Amount	Net Amount	Markup Amount
2006002049	60002049	111222	ec2test@funds365.com	14649934	10/21/2010 23:11:30	10/21/2010 23:11:46	Completed	TWD250.00	TWD8.75	TWD241.25	TWD0.00
2006002045	60002045	111222	ec2test@funds365.com	14649907	10/21/2010 20:56:53	10/21/2010 20:57:14	Completed	TWD250.00	TWD8.75	TWD241.25	TWD0.00
2006002038	60002038	111222	ec2test@funds365.com	14649894	10/21/2010 20:09:34	10/21/2010 20:09:49	Completed	TWD250.00	TWD8.75	TWD241.25	TWD0.00
2006002037	60002037	111222	ec2test@funds365.com	38097483	10/21/2010 19:03:15	10/21/2010 19:03:31	Completed	TWD10.00	TWD0.35	TWD9.65	TWD0.00
2006002036	60002036	111222	ec2test@funds365.com	38097479	10/21/2010 18:45:02	10/21/2010 18:45:21	Completed	TWD20.00	TWD0.70	TWD19.30	TWD0.00
2006002035	60002035	111222	ec2test@funds365.com	38097478	10/21/2010 18:42:34	10/21/2010 18:42:48	Completed	TWD10.00	TWD0.35	TWD9.65	TWD0.00
2006002034	60002034	111222	ec2test@funds365.com	38097477	10/21/2010 18:33:49	10/21/2010 18:33:59	Completed	TWD15.00	TWD0.53	TWD14.47	TWD0.00
2006002033	60002033	111222	ec2test@funds365.com	38097476	10/21/2010 18:32:22	10/21/2010 18:32:35	Completed	TWD14.00	TWD0.49	TWD13.51	TWD0.00
2006002027	60002027	111222	ec2test@funds365.com	38097470	10/21/2010 18:12:29	10/21/2010 18:12:40	Completed	TWD13.00	TWD0.46	TWD12.54	TWD0.00
2006002026	60002026	111222	ec2test@funds365.com	38097469	10/21/2010 18:11:08	10/21/2010 18:11:22	Completed	TWD12.00	TWD0.42	TWD11.58	TWD0.00
2006002023	60002023	111222	ec2test@funds365.com	14649884	10/21/2010 17:44:28	10/21/2010 17:44:43	Completed	TWD250.00	TWD8.75	TWD241.25	TWD0.00
2006002022	60002022	111222	ec2test@funds365.com	38097458	10/21/2010 16:40:46	10/21/2010 16:40:59	Completed	TWD11.00	TWD0.39	TWD10.61	TWD0.00
2006002021	60002021	111222	ec2test@funds365.com	38097457	10/21/2010 16:39:42	10/21/2010 16:39:57	Completed	TWD10.00	TWD0.35	TWD9.65	TWD0.00
Total Transaction	0										
Total Accepted Transaction	13										
Total Accepted Transaction Amount	RMB1115										
